"name","birthDate","birthPlace","height","weight","startYear","endYear","leagues","positions","teams","awards"
"Erik Martin (basketball)",1971-05-26,"West Covina, California",2.0066,99792.0,1993-01-01,2002-01-01,"Big 12 Conference","Coach (sport), Power forward (basketball)","West Virginia Mountaineers men's basketball","Continental Basketball Association, Great Midwest Conference"
"Aleks Marić",1984-10-22,"Sydney",2.1082,124740.0,2008-01-01,2017-01-01,"National Basketball League (Australia)","Center (basketball)","Sydney Kings","ABA League, All-EuroLeague Team, Basketball League of Serbia, Big 12 Conference, EuroCup Basketball, Euroleague Basketball, Greek Basket League, Greek Basketball Cup, List of VTB United League season rebounding leaders, Montenegrin Basketball Cup, Radivoj Korać Cup, Radivoj Korać Cup MVP Award"
"Aaron Miles (basketball)",1983-04-13,"Portland, Oregon",1.8542,79380.0,2005-01-01,2015-01-01,"National Basketball Association","Point guard","Boston Celtics","FIBA EuroChallenge, French Basketball Cup, HEBA Greek All-Star Game, McDonald's All-American Game, Parade All-America Boys Basketball Team, Russian Basketball Cup"
"Scoonie Penn",1977-01-09,"Yonkers, New York",1.8034,81648.0,2000-01-01,2011-01-01,"National Basketball Association","Coach (basketball), Point guard","Memphis Grizzlies","Associated Press, Big East Conference Men's Basketball Freshman of the Year, Big Ten Conference, Big Ten Conference Men's Basketball Player of the Year, Frances Pomeroy Naismith Award, Greek Basketball Cup, HT Premijer liga, NCAA Men's Basketball All-Americans, National Association of Basketball Coaches, United States Basketball Writers Association"
"Elston Turner",1959-06-10,"Knoxville, Tennessee",1.9558,86184.0,1981-01-01,1995-01-01,"National Basketball Association","Shooting guard, Small forward","Minnesota Timberwolves","Lega Basket"
"Elías Larry Ayuso",1977-03-27,"The Bronx",1.8796,90720.0,1996-01-01,2020-01-01,"Baloncesto Superior Nacional","Head coach","Cangrejeros de Santurce (basketball)","Baloncesto Superior Nacional, List of Continental Basketball Association All-Star Games"
"Primož Brezec",1979-10-02,"Socialist Republic of Slovenia",2.159,115668.0,1996-01-01,2017-01-01,"National Basketball Association","Center (basketball)","Cleveland Cavaliers","Cyprus Basketball Division A, EuroLeague records, Premier A Slovenian Basketball League, Slovenian Basketball Cup"
"Saah Nimley",1993-06-03,"Monrovia",,71668.8,2015-01-01,2019-01-01,"Big South Conference","Basketball positions","Charleston Southern Buccaneers men's basketball","Big South Conference"
"Aleksandar Đorđević",1967-08-26,"Socialist Federal Republic of Yugoslavia",,90000.0,1983-01-01,2005-01-01,"EuroLeague","Coach (basketball)","Fenerbahçe S.K. (basketball)","Mr. Europa"
"Emir Mutapčić",1960-05-27,"Socialist Federal Republic of Yugoslavia",1.9812,115214.0,1979-01-01,1993-01-01,"Nemzeti Bajnokság I/A (men's basketball)","Basketball positions","ZTE KK","Basketball Bundesliga Coach of the Year, Israeli Basketball Premier League Statistical Leaders"
