"Blocking Key Value","Frequency"
"Vl,P.","42"
"Ud","41"
"E'","40"
"D'","36"
"Fu","32"
"Ab","22"
"Yu","20"
"Os","12"
"Am","6"
"Yo","4"
"Mi","15470"
"Ax","2"
"Br","14592"
"Dy","1"
"Pa","14337"
"Je","13708"
"La","12337"
"St","11242"
"Er","10725"
"Ra","10366"
"To","9991"
"Ge","9918"
"Ja","69290"
"De","67305"
"Jo","64241"
"Da","51681"
"Ke","49560"
"Ma","40500"
"Ro","28625"
"An","22770"
"Ch","20400"
"Al","19350"
"Bo","9500"
"Ca","7406"
"Do","6723"
"Ri","6240"
"Tr","6232"
"Ji","6120"
"Ha","5564"
"Ga","5460"
"Fr","4560"
"Le","3950"
"Ru","3762"
"Ni","3542"
"Wi","3520"
"Ju","3074"
"Co","2829"
"Ky","2808"
"Wa","2600"
"Re","2232"
"Cl","2000"
"Se","1909"
"Lo","1827"
"Te","1760"
"Ty","1738"
"Dw","1536"
"Bi","1520"
"Ti","1464"
"Lu","1440"
"Ka","1408"
"Be","1188"
"Go","1176"
"Ed","990"
"Sa","936"
"Vi","893"
"Sh","850"
"Ne","814"
"Ta","741"
"Th","672"
"Mo","630"
"Is","456"
"Dr","441"
"Gr","418"
"Aa","414"
"El","400"
"Bl","366"
"Au","360"
"Za","342"
"Ot,T.,Cr","330"
"No","304"
"Gi","288"
"Kr","276"
"Na","260"
"Di","245"
"Kh","228"
"D.","189"
"My","180"
"Ev","162"
"So,Iv","160"
"Av","148"
"Ba","128"
"Ce,We","126"
"Sp","120"
"Ko","119"
"En","74"
"Kl","66"
"Ry","55"
"Jr","54"
"Bu","52"
"Ad","48"
