"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Weight","1.0","Weight-{player_stat_id_1516}","player_stat_id_1516","{77.1}","77.1",,
"Height","1.0","Height-{player_stat_id_46}","player_stat_id_46","{200.66}","200.66",,
"Positions","1.0","Positions-{player_stat_id_491}","player_stat_id_491","{[, Guard, ]}","[, Guard]",,
"Weight","1.0","Weight-{player_stat_id_4278}","player_stat_id_4278","{113.38}","113.38",,
"Weight","1.0","Weight-{player_stat_id_1649}","player_stat_id_1649","{81.63}","81.63",,
"Weight","1.0","Weight-{player_stat_id_3913}","player_stat_id_3913","{111.11}","111.11",,
"Weight","0.0","Weight-{player_dbpedia_id_3570+player_stat_id_1757}","player_dbpedia_id_3570+player_stat_id_1757","{81.65|81.63}","81.65",,
"Name","1.0","Name-{player_salary_id_7632+player_salary_id_7633+player_salary_id_7634+player_salary_id_7635+player_salary_id_7636+player_salary_id_7637+player_salary_id_7638+player_salary_id_7639+player_salary_id_7640+player_salary_id_7641+player_salary_id_7642+player_stat_id_1926}","player_salary_id_7632+player_salary_id_7633+player_salary_id_7634+player_salary_id_7635+player_salary_id_7636+player_salary_id_7637+player_salary_id_7638+player_salary_id_7639+player_salary_id_7640+player_salary_id_7641+player_salary_id_7642+player_stat_id_1926","{Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson|Mark Jackson}","Mark Jackson",,
"Height","1.0","Height-{player_stat_id_2894}","player_stat_id_2894","{208.28}","208.28",,
"Height","1.0","Height-{player_stat_id_2761}","player_stat_id_2761","{203.2}","203.2",,
"Name","1.0","Name-{player_dbpedia_id_4731+player_salary_id_8004+player_salary_id_8005+player_salary_id_8006+player_salary_id_8007+player_salary_id_8008+player_salary_id_8009+player_salary_id_8010+player_salary_id_8011+player_salary_id_8012+player_salary_id_8013+player_salary_id_8014+player_salary_id_8015+player_salary_id_8016+player_salary_id_8017+player_stat_id_1245}","player_dbpedia_id_4731+player_salary_id_8004+player_salary_id_8005+player_salary_id_8006+player_salary_id_8007+player_salary_id_8008+player_salary_id_8009+player_salary_id_8010+player_salary_id_8011+player_salary_id_8012+player_salary_id_8013+player_salary_id_8014+player_salary_id_8015+player_salary_id_8016+player_salary_id_8017+player_stat_id_1245","{Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley|Michael Finley}","Michael Finley",,
"Weight","1.0","Weight-{player_stat_id_665}","player_stat_id_665","{108.84}","108.84",,
"BirthDate","1.0","BirthDate-{player_stat_id_1491}","player_stat_id_1491","{1972-05-31T00:00}","1972-05-31T00:00",,
"Weight","1.0","Weight-{player_stat_id_798}","player_stat_id_798","{86.17}","86.17",,
"Positions","1.0","Positions-{player_stat_id_3250}","player_stat_id_3250","{[, Forward, ]}","[, Forward]",,
"Weight","1.0","Weight-{player_stat_id_3079}","player_stat_id_3079","{101.59}","101.59",,
"Name","1.0","Name-{player_salary_id_2045+player_salary_id_2046+player_salary_id_2047+player_salary_id_2048+player_salary_id_2049+player_salary_id_2050+player_salary_id_2051+player_salary_id_2052+player_stat_id_2831}","player_salary_id_2045+player_salary_id_2046+player_salary_id_2047+player_salary_id_2048+player_salary_id_2049+player_salary_id_2050+player_salary_id_2051+player_salary_id_2052+player_stat_id_2831","{Chris Morris|Chris Morris|Chris Morris|Chris Morris|Chris Morris|Chris Morris|Chris Morris|Chris Morris|Chris Morris}","Chris Morris",,
"BirthDate","1.0","BirthDate-{player_stat_id_4214}","player_stat_id_4214","{1970-10-12T00:00}","1970-10-12T00:00",,
"Height","1.0","Height-{player_dbpedia_id_3898+player_stat_id_57}","player_dbpedia_id_3898+player_stat_id_57","{208.28|208.28}","208.28",,
"Positions","1.0","Positions-{player_stat_id_2051}","player_stat_id_2051","{[, Guard, ]}","[, Guard]",,
"BirthDate","1.0","BirthDate-{player_dbpedia_id_5479+player_stat_id_3498}","player_dbpedia_id_5479+player_stat_id_3498","{1990-10-21T00:00|1990-10-21T00:00}","1990-10-21T00:00",,
"Name","1.0","Name-{player_dbpedia_id_2023+player_salary_id_6055+player_salary_id_6056+player_salary_id_6057+player_stat_id_2699}","player_dbpedia_id_2023+player_salary_id_6055+player_salary_id_6056+player_salary_id_6057+player_stat_id_2699","{Jordan McRae|Jordan McRae|Jordan McRae|Jordan McRae|Jordan McRae}","Jordan McRae",,
"BirthDate","1.0","BirthDate-{player_stat_id_1719}","player_stat_id_1719","{1987-12-09T00:00}","1987-12-09T00:00",,
"Height","1.0","Height-{player_stat_id_4419}","player_stat_id_4419","{198.12}","198.12",,
"Weight","1.0","Weight-{player_stat_id_4279}","player_stat_id_4279","{113.38}","113.38",,
"BirthDate","1.0","BirthDate-{player_stat_id_446}","player_stat_id_446","{1970-09-19T00:00}","1970-09-19T00:00",,
"Weight","1.0","Weight-{player_stat_id_1648}","player_stat_id_1648","{104.31}","104.31",,
"Name","1.0","Name-{player_salary_id_7511+player_salary_id_7512+player_salary_id_7513+player_salary_id_7514+player_salary_id_7515+player_stat_id_1254}","player_salary_id_7511+player_salary_id_7512+player_salary_id_7513+player_salary_id_7514+player_salary_id_7515+player_stat_id_1254","{Marcus Fizer|Marcus Fizer|Marcus Fizer|Marcus Fizer|Marcus Fizer|Marcus Fizer}","Marcus Fizer",,
"Height","1.0","Height-{player_stat_id_45}","player_stat_id_45","{195.58}","195.58",,
"Weight","1.0","Weight-{player_stat_id_4146}","player_stat_id_4146","{108.84}","108.84",,
"BirthDate","1.0","BirthDate-{player_stat_id_3015}","player_stat_id_3015","{1972-03-06T00:00}","1972-03-06T00:00",,
"BirthDate","1.0","BirthDate-{player_stat_id_4347}","player_stat_id_4347","{1963-09-11T00:00}","1963-09-11T00:00",,
"Name","1.0","Name-{player_salary_id_3111+player_salary_id_3112+player_salary_id_3113+player_salary_id_3114+player_salary_id_3115+player_salary_id_3116+player_salary_id_3117+player_salary_id_3118+player_stat_id_2671}","player_salary_id_3111+player_salary_id_3112+player_salary_id_3113+player_salary_id_3114+player_salary_id_3115+player_salary_id_3116+player_salary_id_3117+player_salary_id_3118+player_stat_id_2671","{Derrick McKey|Derrick McKey|Derrick McKey|Derrick McKey|Derrick McKey|Derrick McKey|Derrick McKey|Derrick McKey|Derrick McKey}","Derrick McKey",,
"BirthDate","1.0","BirthDate-{player_stat_id_1492}","player_stat_id_1492","{1975-09-27T00:00}","1975-09-27T00:00",,
"Weight","0.0","Weight-{player_dbpedia_id_6890+player_stat_id_1797}","player_dbpedia_id_6890+player_stat_id_1797","{81.65|83.9}","81.65",,
"Weight","1.0","Weight-{player_stat_id_531}","player_stat_id_531","{112.47}","112.47",,
"Height","1.0","Height-{player_stat_id_4192}","player_stat_id_4192","{205.74}","205.74",,
"Positions","1.0","Positions-{player_stat_id_3384}","player_stat_id_3384","{[, Guard, ]}","[, Guard]",,
"Height","1.0","Height-{player_stat_id_3219}","player_stat_id_3219","{210.82}","210.82",,
"Name","1.0","Name-{player_salary_id_9738+player_salary_id_9739+player_salary_id_9740+player_salary_id_9741+player_salary_id_9742+player_salary_id_9743+player_stat_id_3439}","player_salary_id_9738+player_salary_id_9739+player_salary_id_9740+player_salary_id_9741+player_salary_id_9742+player_salary_id_9743+player_stat_id_3439","{Rumeal Robinson|Rumeal Robinson|Rumeal Robinson|Rumeal Robinson|Rumeal Robinson|Rumeal Robinson|Rumeal Robinson}","Rumeal Robinson",,
"BirthDate","1.0","BirthDate-{player_dbpedia_id_1589+player_stat_id_1454}","player_dbpedia_id_1589+player_stat_id_1454","{1990-07-12T00:00|1990-07-12T00:00}","1990-07-12T00:00",,
"Positions","1.0","Positions-{player_stat_id_1952}","player_stat_id_1952","{[, Center, ]}","[, Center]",,
"Weight","0.0","Weight-{player_dbpedia_id_786+player_stat_id_964}","player_dbpedia_id_786+player_stat_id_964","{99.34|104.31}","99.34",,
"Height","0.6666666666666666","Height-{player_dbpedia_id_3354+player_dbpedia_id_4109+player_stat_id_3668}","player_dbpedia_id_3354+player_dbpedia_id_4109+player_stat_id_3668","{198.12|190.5|198.12}","190.5",,
"Height","1.0","Height-{player_stat_id_2760}","player_stat_id_2760","{200.66}","200.66",,
"Weight","1.0","Weight-{player_stat_id_2979}","player_stat_id_2979","{97.51}","97.51",,
"BirthDate","1.0","BirthDate-{player_dbpedia_id_1377+player_dbpedia_id_3027+player_stat_id_1426}","player_dbpedia_id_1377+player_dbpedia_id_3027+player_stat_id_1426","{1977-07-28T00:00|1977-07-28T00:00|1977-07-28T00:00}","1977-07-28T00:00",,
"Weight","1.0","Weight-{player_stat_id_2846}","player_stat_id_2846","{81.63}","81.63",,
"BirthDate","1.0","BirthDate-{player_stat_id_4346}","player_stat_id_4346","{1962-05-07T00:00}","1962-05-07T00:00",,
"BirthDate","1.0","BirthDate-{player_dbpedia_id_4563+player_stat_id_1310}","player_dbpedia_id_4563+player_stat_id_1310","{1990-11-01T00:00|1990-11-01T00:00}","1990-11-01T00:00",,
"Positions","1.0","Positions-{player_stat_id_2183}","player_stat_id_2183","{[, Forward, , Center, ]}","[, Center, Forward]",,
