"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","player_stat_id_2706","player_injury_id_1575","0.0",,"jodie meeks","joel embiid","jodie meeks","joel embiid","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_2696","player_injury_id_8372","0.0",,"paul mcpherson","patrick beverley","paul mcpherson","patrick beverley","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_77","player_injury_id_6001","0.0",,"andrew anderson","anthony davis","andrew anderson","anthony davis","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_77","player_injury_id_6000","0.0",,"andrew anderson","anthony davis","andrew anderson","anthony davis","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_4342","player_injury_id_669","0.0",,"jamaal wilkes","james harden","jamaal wilkes","james harden","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_2696","player_injury_id_8373","0.0",,"paul mcpherson","patrick beverley","paul mcpherson","patrick beverley","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3104","player_injury_id_8865","0.0",,"anthony parker","anfernee simons","anthony parker","anfernee simons","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_736","player_injury_id_1746","0.3333333333333333",,"ben coleman","ben simmons","ben coleman","ben simmons","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_3490","player_injury_id_7784","0.0",,"derrick rowland","devonte' graham","derrick rowland","devonte' graham","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3280","player_injury_id_887","0.0",,"jacob pullen","james johnson","jacob pullen","james johnson","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3280","player_injury_id_888","0.0",,"jacob pullen","james johnson","jacob pullen","james johnson","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_736","player_injury_id_1745","0.3333333333333333",,"ben coleman","ben simmons","ben coleman","ben simmons","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_1845","player_injury_id_9193","0.3333333333333333",,"juwan howard","juwan morgan","juwan howard","juwan morgan","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_4235","player_injury_id_2417","0.0",,"kermit washington","kevin love","kermit washington","kevin love","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_4235","player_injury_id_2416","0.0",,"kermit washington","kevin love","kermit washington","kevin love","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_2551","player_injury_id_491","0.0",,"brian martin","bruce brown","brian martin","bruce brown","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_607","player_injury_id_7507","0.0",,"ernie calverley","eric gordon","ernie calverley","eric gordon","0.0","0.0"
