"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerPositionsComparatorOverlap record1Value","[1] PlayerPositionsComparatorOverlap record2Value","[1] PlayerPositionsComparatorOverlap record1PreprocessedValue","[1] PlayerPositionsComparatorOverlap record2PreprocessedValue","[1] PlayerPositionsComparatorOverlap similarity","[1] PlayerPositionsComparatorOverlap postproccesedSimilarity","[2] PlayerInjuryYearCareerComparatorRange record1Value","[2] PlayerInjuryYearCareerComparatorRange record2Value","[2] PlayerInjuryYearCareerComparatorRange record1PreprocessedValue","[2] PlayerInjuryYearCareerComparatorRange record2PreprocessedValue","[2] PlayerInjuryYearCareerComparatorRange similarity","[2] PlayerInjuryYearCareerComparatorRange postproccesedSimilarity"
"WekaMatchingRule","player_stat_id_1050","player_injury_id_1854","0.9772695774992265","1","goran dragic","goran dragic","goran dragic","goran dragic","1.0","1.0","|guard|","|point guard|","|guard|","|point guard|","0.5","0.5","2009-2018","2015","2009-2018","2015","1.0","1.0"
"WekaMatchingRule","player_stat_id_2706","player_injury_id_1575","0.042566130753495864",,"jodie meeks","joel embiid","jodie meeks","joel embiid","0.0","0.0","|guard|","|center|","|guard|","|center|","0.5","0.5","2010-2018","2019","2010-2018","2019","0.8","0.8"
"WekaMatchingRule","player_stat_id_651","player_injury_id_4361","0.9650281215681186","1","michael carter-williams","michael carter-williams","michael carter-williams","michael carter-williams","1.0","1.0","|guard|","|point guard|","|guard|","|point guard|","0.5","0.5","2014-2018","2013","2014-2018","2013","0.8","0.8"
"WekaMatchingRule","player_stat_id_740","player_injury_id_7244",,"0","norris coleman","kristaps porzingis","norris coleman","kristaps porzingis","0.0","0.0","|forward|","|center|","|forward|","|center|","0.5","0.5","1988-1988","2017","1988-1988","2017","0.0","0.0"
"WekaMatchingRule","player_stat_id_1388","player_injury_id_9016","0.9772695774992265","1","rudy gay","rudy gay","rudy gay","rudy gay","1.0","1.0","|forward|","|small forward|","|forward|","|small forward|","0.5","0.5","2007-2018","2017","2007-2018","2017","1.0","1.0"
"WekaMatchingRule","player_stat_id_77","player_injury_id_6000","0.007487689767054838",,"andrew anderson","anthony davis","andrew anderson","anthony davis","0.0","0.0","|guard|","|power forward|","|guard|","|power forward|","0.5","0.5","1968-1970","2019","1968-1970","2019","0.0","0.0"
"WekaMatchingRule","player_stat_id_4116","player_injury_id_9016",,"0","ronnie valentine","rudy gay","ronnie valentine","rudy gay","0.0","0.0","|forward|","|small forward|","|forward|","|small forward|","0.5","0.5","1981-1981","2017","1981-1981","2017","0.0","0.0"
"WekaMatchingRule","player_stat_id_658","player_injury_id_3883",,"0","omri casspi","wes iwundu","omri casspi","wes iwundu","0.0","0.0","|forward|","|small forward|","|forward|","|small forward|","0.5","0.5","2010-2018","2017","2010-2018","2017","1.0","1.0"
"WekaMatchingRule","player_stat_id_2696","player_injury_id_8373","0.007487689767054838",,"paul mcpherson","patrick beverley","paul mcpherson","patrick beverley","0.0","0.0","|guard|","|point guard|","|guard|","|point guard|","0.5","0.5","2001-2001","2015","2001-2001","2015","0.0","0.0"
"WekaMatchingRule","player_stat_id_3104","player_injury_id_8865","0.007487689767054838",,"anthony parker","anfernee simons","anthony parker","anfernee simons","0.0","0.0","|guard|","|shooting guard|","|guard|","|shooting guard|","0.5","0.5","1998-2012","2020","1998-2012","2020","0.0","0.0"
